title;;;authors;;;date;;;source;;;abstract;;;link;;;category
AI for Closed-Loop Control Systems: New Opportunities for Modeling, Designing, and Tuning Control Systems;;;['Julius Schöning', 'Adrian Riechmann', 'Hans-Jürgen Pfisterer'];;;February 2022;;;ICMLC '22: Proceedings of the 2022 14th International Conference on Machine Learning and Computing;;;Control Systems, particularly closed-loop control systems (CLCS), are frequently used in production machines, vehicles, and robots nowadays. CLCS are needed to actively align actual values of a process to a given reference or set values in real-time with a very high precession. Yet, artificial intelligence (AI) is not used to model, design, optimize, and tune CLCS. This paper will highlight potential AI-empowered and -based control system designs and designing procedures, gathering new opportunities and research direction in the field of control system engineering. Therefore, this paper illustrates which building blocks within the standard block diagram of CLCS can be replaced by AI, i.e., artificial neuronal networks (ANN). Having processes with real-time contains and functional safety in mind, it is discussed if AI-based controller blocks can cope with these demands. By concluding the paper, the pros and cons of AI-empowered as well as -based CLCS designs are discussed, and possible research directions for introducing AI in the domain of control system engineering are given.;;;https://dl.acm.org/doi/10.1145/3529836.3529952;;;Systems AND Control
A semantic-based access control approach for systems of systems;;;['Mersedeh Sadeghi', 'Luca Sartor', 'Matteo Rossi'];;;December 2021;;;ACM SIGAPP Applied Computing Review;;;Access control management in a System of Systems---i.e., a collaborative environment composed of a multitude of distributed autonomous organizations---is a challenging task. To answer the challenge, in this paper we propose a novel approach that incorporates semantic technologies in the Attribute-Based Access Control (ABAC) approach. Building on the basic principles of ABAC, our approach allows for a highly expressive modeling of the context in which access decisions are made, by providing mechanisms to describe rich relationships among entities, which can evolve over time. In addition, our system works in a truly decentralized manner, which makes it suitable for geographically distributed enterprise systems. We show the feasibility in practice of our approach through some experimental results.;;;https://dl.acm.org/doi/10.1145/3512753.3512754;;;Systems AND Control
Design of Ball Rolling Control System Based on Multivariable Fusion Control;;;['Yu Peilin', 'Tan Xing'];;;October 2021;;;EITCE '21: Proceedings of the 2021 5th International Conference on Electronic Information Technology and Computer Engineering;;;This paper shows the design and fabrication of a ball rolling control system supply with STM32. The system consists of a main controller STM32, an angle sensor, a camera, two steering gears and various connections. The three variables of ball position, velocity and angle of the plate are used as feedback parameters, and the multivariable fusion control of the system is greatly optimized by the system hardware to realize the accurate control of the ball movement position and trajectory on the plate, which can resist certain external interference and adjust the feedback quickly and with slight error.;;;https://dl.acm.org/doi/10.1145/3501409.3501419;;;Systems AND Control
Adaptive Control of Teleoperation Systems with Uncertainties: A Survey;;;['Chang Liu'];;;May 2021;;;RSAE '21: Proceedings of the 2021 3rd International Conference on Robotics Systems and Automation Engineering;;;In this paper, the control methods of nonlinear teleoperation systems are summarized, with emphasis on control techniques for solving external disturbances and system uncertainties. The dynamic model of teleoperation system, including tele-manipulators, human operator, and environments, is presented from the point of stability analysis. Various adaptive control technologies are reviewed based on enhanced synchronization tracking control performance, and their advantages and disadvantages are analyzed. The direction of further research is given. The aim of this paper is to provide a comprehensible research idea for researchers involved in the field of teleoperation control design.;;;https://dl.acm.org/doi/10.1145/3475851.3475856;;;Systems AND Control
Formation control and coordination of swarm robotic systems;;;['Abzal Ermekbayuly Kyzyrkanov', 'Sabyrzhan Kubeisinovich Atanov', 'Shadi Abdel Rahman Aljawarneh'];;;October 2021;;;ICEMIS'21: The 7th International Conference on Engineering &amp; MIS 2021;;;In many applications, a group of autonomous mobile robots must follow a given trajectory while maintaining a certain geometric structure. If the motion in formation is properly organized, many advantages over traditional systems can be obtained: system cost can be reduced, system reliability and efficiency can be increased, while ensuring the reconfigurability and flexibility of the system's structure. Movement while maintaining a certain geometric structure has a wide range of applications. For example, in military missions, autonomous vehicles must maintain a certain structure of formation to cover terrain and conduct reconnaissance; in Smart Highway systems, the capacity of the transportation network can be greatly increased if vehicles can be grouped together at the same speed while maintaining a certain distance between them. This paper provides an algorithm for movement with a certain geometric structure of a group of autonomous mobile robots.;;;https://dl.acm.org/doi/10.1145/3492547.3492704;;;Systems AND Control
A semantic-based access control mechanism for distributed systems;;;['Mersedeh Sadeghi', 'Luca Sartor', 'Matteo Rossi'];;;March 2021;;;SAC '21: Proceedings of the 36th Annual ACM Symposium on Applied Computing;;;Access control management in a collaborative environment composed of a multitude of distributed autonomous organizations is a challenging task. To answer the challenge, in this paper we propose a novel approach that incorporates semantic technologies in the Attribute-Based Access Control (ABAC) approach. Building on the basic principles of ABAC, our approach allows for a highly expressive modeling of the context in which access decisions are made, by providing mechanisms to describe rich relationships among entities, which can evolve over time. In addition, our system works in a truly decentralized manner, which makes it suitable for geographically distributed enterprise systems. We show the feasibility in practice of our approach through some experimental results.;;;https://dl.acm.org/doi/10.1145/3412841.3442058;;;Systems AND Control
Formal verification of hyperproperties for control systems;;;['Mahathi Anand', 'Vishnu Murali', 'Ashutosh Trivedi', 'Majid Zamani'];;;May 2021;;;CAADCPS '21: Proceedings of the Workshop on Computation-Aware Algorithmic Design for Cyber-Physical Systems;;;In recent years, there has been a great deal of interest and research in verifying complex cyber-physical systems (CPS) against rich and expressive specifications [2] such as safety and liveness, to provide formal guarantees for safety-critical systems. While linear temporal logic (LTL) [1] can capture these properties of interest, it is incapable of specifying many information-flow properties that rely on information of multiple traces. These properties, which are described over sets of traces, are called hyperproperties [4] and their corresponding temporal logics have been well studied. The extension of LTL to capture a fragment of hyperproperties, namely, HyperLTL [3], makes use of trace variables to specify individual execution traces and allows for quantification of trace variables to precede a (trace) quantifier-free formula. Here, we present a sound approach for verifying discrete-time control systems against HyperLTL formulae through the use of so-called augmented barrier certificates (ABCs).;;;https://dl.acm.org/doi/10.1145/3457335.3461715;;;Systems AND Control
Ontology driven AI and Access Control Systems for Smart Fisheries;;;['Sai Sree Laya Chukkapalli', 'Shaik Barakhat Aziz', 'Nouran Alotaibi', 'Sudip Mittal', 'Maanak Gupta', 'Mahmoud Abdelsalam'];;;April 2021;;;SAT-CPS '21: Proceedings of the 2021 ACM Workshop on Secure and Trustworthy Cyber-Physical Systems;;;Increasing number of internet connected devices has paved a path for smarter ecosystems in various sectors such as agriculture, aquaculture, manufacturing, healthcare, etc. Especially, integrating technologies like big data, artificial intelligence (AI), blockchain, etc. with internet connected devices has increased efficiency and productivity. Therefore, fishery farmers have started adopting smart fisheries technologies to better manage their fish farms. Despite their technological advancements smart fisheries are exposed and vulnerable to cyber-attacks that would cause a negative impact on the ecosystem both physically and economically. Therefore in this paper, we present a smart fisheries ecosystem where the architecture describes various interactions that happen between internet connected devices. We develop a smart fisheries ontology based on the architecture and implement Attribute Based Access Control System (ABAC) where access to resources of smart fisheries is granted by evaluating the requests. We also discuss how access control decisions are made in multiple use case scenarios of a smart fisheries ecosystem. Furthermore, we elaborate on some AI applications that would enhance the smart fisheries ecosystem.;;;https://dl.acm.org/doi/10.1145/3445969.3450429;;;Systems AND Control
Vision: Security-Usability Threat Modeling for Industrial Control Systems;;;['Karen Li', 'Awais Rashid', 'Anne Roudaut'];;;October 2021;;;EuroUSEC '21: Proceedings of the 2021 European Symposium on Usable Security;;;Industrial Control System (ICS) that run large-scale systems such as water, power and manufacturing are increasingly in focus given high profile attacks against such infrastructures. These systems are connected to IT systems and the Internet, the intersections of their users – typically control systems engineers and operators – with security requirements and systems add to the complexity of the threats faced by these environments. The challenges of usable security in IT systems have been studied extensively, including work on security-usability threat modeling (i.e. lack of usability exacerbating security issues). However, no work has examined similar challenges within ICS settings where, in addition to the regular requirements of information confidentiality, information integrity and information availability, requirements such as processsafety, processintegrity and processreliability are paramount for the users. Using the case of a Programmable Logic Controller (PLC), we detail the workflow that the user undertake for a security task. We analyze this workflow using STRIDE, an established threat modeling approach. We then map the threats against an existing security-usability threat model for IT systems whilst also taking into account the specific process-related requirements critical to ICS users. We then derive an initial security-usability threat model for ICS as a first step towards further work in this regard.;;;https://dl.acm.org/doi/10.1145/3481357.3481527;;;Systems AND Control
Constrained Sliding Mode Control for Uncertain Manipulator Systems with Prescribed Performance;;;['Zhenghang Zhang'];;;May 2021;;;RSAE '21: Proceedings of the 2021 3rd International Conference on Robotics Systems and Automation Engineering;;;Trajectory tracking of robots plays an important role in both theory and engineering applications, but trajectory tracking with predetermined performance is still an open question to be solved. In this paper, the trajectory tracking control problem of a class of manipulator systems is investigated. We design a sliding mode based controller to ensure that the joint position and velocity tracking errors converge into a user-defined range within finite time. We prove rigorously that with the help of exponential-type Lypapunov function, sliding mode would never exceed the preassigned range, leading to constraint convergence performance of the corresponding states. The numerical simulation results shows its validity and rationality.;;;https://dl.acm.org/doi/10.1145/3475851.3475855;;;Systems AND Control
