title;;;authors;;;date;;;source;;;abstract;;;link;;;category
Systematizing the Meta-Analytical Process in Software Engineering;;;['Letizia Jaccheri', 'Zamira Kholmatova', 'Giancarlo Succi'];;;November 2021;;;ESSE '21: Proceedings of the 2021 European Symposium on Software Engineering;;;The generalization of knowledge is a necessary part of every scientific field. Meta-analysis is already advocated as a tool for generalization in different areas such as medicine, psychology, business, and this process is already standardized for them. Software engineering started using meta-analysis as a tool for aggregating results from families of experiments, but not so long for generalization of results coming from different studies, and for this purpose, the meta-analytical approach is not yet clarified. In this paper, we attempt to systematize the application of meta-analysis as a secondary study to the software engineering field suggesting our preliminary protocol. To see the reliability of the proposed protocol we conducted several studies using it. Following even uniform protocol with these studies, we identified the issues preventing the wide usage of meta-analysis in software engineering and proposed our solutions for them.;;;https://dl.acm.org/doi/10.1145/3501774.3501775;;;Software AND Engineering
Explainable AI for software engineering;;;['Chakkrit (Kla) Tantithamthavorn', 'Jirayus Jiarpakdee'];;;November 2021;;;ASE '21: Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering;;;The success of software engineering projects largely depends on complex decision-making. For example, which tasks should a developer do first, who should perform this task, is the software of high quality, is a software system reliable and resilient enough to deploy, etc. However, erroneous decision-making for these complex questions is costly in terms of money and reputation. Thus, Artificial Intelligence/Machine Learning (AI/ML) techniques have been widely used in software engineering for developing software analytics tools and techniques to improve decision-making, developer productivity, and software quality. However, the predictions of such AI/ML models for software engineering are still not practical (i.e., coarse-grained), not explainable, and not actionable. These concerns often hinder the adoption of AI/ML models in software engineering practices. In addition, many recent studies still focus on improving the accuracy, while a few of them focus on improving explainability. Are we moving in the right direction? How can we better improve the SE community (both research and education)? In this tutorial, we first provide a concise yet essential introduction to the most important aspects of Explainable AI and a hands-on tutorial of Explainable AI tools and techniques. Then, we introduce the fundamental knowledge of defect prediction (an example application of AI for Software Engineering). Finally, we demonstrate three successful case studies on how Explainable AI techniques can be used to address the aforementioned challenges by making the predictions of software defect prediction models more practical, explainable, and actionable. The materials are available at https://xai4se.github.io.;;;https://dl.acm.org/doi/10.1109/ASE51524.2021.9678580;;;Software AND Engineering
Hazard Analysis Methods for Software Safety Requirements Engineering;;;['Vu Nguyen Tran', 'Long Vu Tran', 'Viet Nguyen Tran', 'Dao Ngoc Vu'];;;January 2022;;;ICSIM '22: Proceedings of the 2022 5th International Conference on Software Engineering and Information Management;;;The rise of software-based system control in safety-critical systems has made software safety a critical part of a system safety program. The risk of catastrophic software system failure increases with the growth of safety-critical technologies in autonomous transportation systems, airplanes, traffic control systems, medical surgery equipment, nuclear power centers, power grids, human-assist robotics, and military weaponry. Developing software control in safety-critical systems is challenging because the control needs to be reliable and safe. High-profile system failures in recent years, such as the crashes of the 737 MAX airliners, are constant reminders of the risk of software failure in safety-critical systems. The software quality assurance approaches used in software development today are insufficient for created for assuring software reliability but not safety. Developing functionally safe software requires incorporating a risk-driven approach that focuses on hazard identification, hazard risk anticipation, and mitigation. Software safety methods adoption in practice and across mainstream computer science and software engineering curriculums is still limited. Heeding the call for more publications on the practice of software safety, we present an integrated approach to software safety requirements engineering (SSRE). Engineering safety requirements for software is one of the most important steps in building safe software. First, we provide an overview of SSRE. Then we describe three hazard analysis methods that can be incorporated into a software requirement engineering process. Finally, discuss how we combine these distinct methods into a single SSRE approach to support safety-critical systems development.;;;https://dl.acm.org/doi/10.1145/3520084.3520087;;;Software AND Engineering
Psychometrics in Behavioral Software Engineering: A Methodological Introduction with Guidelines;;;['Daniel Graziotin', 'Per Lenberg', 'Robert Feldt', 'Stefan Wagner'];;;None;;;ACM Transactions on Software Engineering and Methodology;;;A meaningful and deep understanding of the human aspects of software engineering (SE) requires psychological constructs to be considered. Psychology theory can facilitate the systematic and sound development as well as the adoption of instruments (e.g., psychological tests, questionnaires) to assess these constructs. In particular, to ensure high quality, the psychometric properties of instruments need evaluation. In this article, we provide an introduction to psychometric theory for the evaluation of measurement instruments for SE researchers. We present guidelines that enable using existing instruments and developing new ones adequately. We conducted a comprehensive review of the psychology literature framed by the Standards for Educational and Psychological Testing. We detail activities used when operationalizing new psychological constructs, such as item pooling, item review, pilot testing, item analysis, factor analysis, statistical property of items, reliability, validity, and fairness in testing and test bias. We provide an openly available example of a psychometric evaluation based on our guideline. We hope to encourage a culture change in SE research towards the adoption of established methods from psychology. To improve the quality of behavioral research in SE, studies focusing on introducing, validating, and then using psychometric instruments need to be more common.;;;https://dl.acm.org/doi/10.1145/3469888;;;Software AND Engineering
Decoding grounded theory for software engineering;;;['Rashina Hoda'];;;May 2021;;;ICSE '21: Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings;;;Grounded Theory, while becoming increasingly popular in software engineering, is also one of the most misunderstood, misused, and poorly presented and evaluated method in software engineering. When applied well, GT results in dense and valuable explanations of how and why phenomena occur in practice. GT can be applied as a full research method leading to mature theories and also in limited capacity for data analysis within other methods, using its robust open coding and constant comparison procedures. This technical briefing will go through the social origins of GT, present examples of grounded theories developed in SE, discuss the key challenges SE researchers face, and provide a gentle introduction to socio-technical grounded theory, a variant of GT for software engineering research.;;;https://dl.acm.org/doi/10.1109/ICSE-Companion52605.2021.00139;;;Software AND Engineering
Inconsistency-tolerating guidance for software engineering processes;;;['Christoph Mayr-Dorn', 'Roland Kretschmer', 'Alexander Egyed', 'Ruben Heradio', 'David Fernandez-Amoros'];;;May 2021;;;ICSE-NIER '21: Proceedings of the 43rd International Conference on Software Engineering: New Ideas and Emerging Results;;;Software processes, together with software quality assurance, focus on ensuring and attesting that the engineering processes result in the appropriate software quality. Complex processes and regulations (e.g., in safety-critical systems), time pressure, or coordination needs, often cause engineers to deviate from prescribed processes, producing a cascade of inconsistencies whose repair is typically troublesome. Accordingly, guidance is needed to help engineers to fix the inconsistencies and understand the implications of postponing inconsistency resolution until engineers reach a consensual agreement of the most convenient repair. To this end, we bring together techniques and methods from process engineering, model inconsistency checking, and formal methods. Preliminary evaluations with real industry data have demonstrated the ability of our early prototype to track process inconsistencies across time and the potential for automated repair.;;;https://dl.acm.org/doi/10.1109/ICSE-NIER52604.2021.00010;;;Software AND Engineering
A Classification for Managing Software Engineering Knowledge;;;['Angelika Kaplan', 'Maximilian Walter', 'Robert Heinrich'];;;June 2021;;;EASE '21: Proceedings of the 25th International Conference on Evaluation and Assessment in Software Engineering;;;This taxonomy paper presents a novel way of knowledge engineering in the software engineering research community. Till now, research papers are organized digitally as documents, mostly in PDF files. Not much effort is spent on effective knowledge classification, retrieval, storage, and representation. In contrast to the current paper-based approach for knowledge documentation, we present a statement-based approach, where each statement is linked to arguments and data of its evidence as well as to related statements. We argue that in this way, knowledge will be easier to retrieve, compare, and evaluate in contrast to current paper-based knowledge engineering in scientific search engines and digital libraries. Therefore, we present as a first step a novel multi-dimensional classification for statements in software engineering research. Statements are classified according to their research object, their kind (e.g., relevance), and their underlying evidence. This classification is validated and extended with a first systematic literature review. Additionally, we provide an example for illustration purpose.;;;https://dl.acm.org/doi/10.1145/3463274.3463357;;;Software AND Engineering
On Implicit Assumptions Underlying Software Engineering Research;;;['Lutz Prechelt'];;;June 2021;;;EASE '21: Proceedings of the 25th International Conference on Evaluation and Assessment in Software Engineering;;;Background: Software engineering research articles should make precise claims regarding their contribution, so that practitioners can decide when they might be interested and researchers can better recognize (1) whether the given research is valid, (2) which published works to use as stepping stones for their own research (and which not), and (3) where additional research is required. In particular, articles should spell out what assumptions were made at each research step. Question: Can we identify recurring patterns of assumptions that are not spelled out? Method: This is a position paper. It formulates impressions, but does not present concrete evidence. Results: Assumptions that are wrong or assumptions that are risky and not explicit threaten the integrity of the scientific record. There are several recurring types of such assumptions. The frequency of these problems is currently unknown. Conclusion: The software engineering research community should become more conscious and more explicit with respect to the assumptions that underlie individual research works.;;;https://dl.acm.org/doi/10.1145/3463274.3463356;;;Software AND Engineering
Benchmarking as Empirical Standard in Software Engineering Research;;;['Wilhelm Hasselbring'];;;June 2021;;;EASE '21: Proceedings of the 25th International Conference on Evaluation and Assessment in Software Engineering;;;In empirical software engineering, benchmarks can be used for comparing different methods, techniques and tools. However, the recent ACM SIGSOFT Empirical Standards for Software Engineering Research do not include an explicit checklist for benchmarking. In this paper, we discuss benchmarks for software performance and scalability evaluation as example research areas in software engineering, relate benchmarks to some other empirical research methods, and discuss the requirements on benchmarks that may constitute the basis for a checklist of a benchmarking standard for empirical software engineering research.;;;https://dl.acm.org/doi/10.1145/3463274.3463361;;;Software AND Engineering
Towards inclusive software engineering through A/B testing: a case-study at windows;;;['Irina Niculescu', 'Huibin Mary Hu', 'Christina Gee', 'Chewy Chong', 'Shivam Dubey', 'Paul Luo Li'];;;May 2021;;;ICSE-SEIP '21: Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Practice;;;Engineering software to be inclusive of all those that might/could/should use the software is important. However, today, data used to engineer software can have inherent biases (e.g. gender identity) with inclusiveness concerns. While much attention has been given to this topic in the AI/ML space, in this paper, we examine another data-centric software engineering process, A/B testing, for which we have a dearth of understanding today. Using real-world data from the Windows out of box experience (OOBE) feature, we provide a case-study of how inclusiveness concerns can manifest in A/B testing, practical adjustments to A/B testing towards inclusive software engineering, and insights into ongoing challenges. We discuss implications for research and practice.;;;https://dl.acm.org/doi/10.1109/ICSE-SEIP52600.2021.00027;;;Software AND Engineering
